model,accuracy,precision,recall,f1,roc_auc,pr_auc,training_time,prediction_time
Logistic Regression,0.7789666768572302,0.5668741746840219,0.8344904193279644,0.6751291844529319,0.8699323769807109,0.6841645597152841,7.518358945846558,0.0598797798156738
AdaBoost Classifier,0.7487771323754203,0.8007662835249042,0.116078866981394,0.2027649769585253,0.8291522446384786,0.6087897333700082,24.128069162368774,0.2273101806640625
Bagging Classifier,0.8505044328951391,0.7479650286403376,0.6889752846431547,0.7172593235039029,0.9135028399524509,0.8038096129766215,1162.526951789856,1.1514909267425537
Voting Classifier,0.8423,0.7655,0.6157,0.6825,0.9037,0.7918,6645.846,211.36
Stacking Classifier,0.8247,0.7235,0.5879,0.6487,0.8828,0.7423,15798.762,155.955
